0301,371800
0302,371800
0303,371800
0304,371800
0305,371800
0306,371832
0307,371867
0308,371871
0309,371871
0310,371871
0311,371879
0312,371892
0313,371892
0314,371892
0315,371903
0316,371912
0317,371931
0318,371932
0319,371933
0320,371933
0321,371944
0322,371944
0323,371944
0324,371949
0325,371949
0326,371949
0327,371954
0328,371955
0329,371957
0330,371960
0331,371964
0332,371966
0333,371974
0334,371979
0335,371979
0336,371980
0337,371980
0338,371980
0339,371980
0340,371987
0341,371987
0342,371988
0343,371988
0344,371988
0345,371990
0346,371997
0347,371997
0348,371997
0349,371997
0350,371997
0351,371997
0352,371997
0353,371997
0354,371998
0355,371998
0356,371998
0357,371998
0358,371998
0359,372042
0360,372051
0361,372054
0362,372054
0363,372055
0364,372065
0365,372109
0366,372114
0367,372114
0368,372114
0369,372125
0370,372125
0371,372127
0372,372129
0373,372129
0374,372131
0375,372131
0376,372142
0377,372164
0378,372164
0379,372164
0380,372175
0381,372175
0382,372189
0383,372189
0384,372195
0385,372232
0386,372232
0387,372232
0388,372244
0389,372246
0390,372246
0391,372246
0392,372246
0393,372275
0394,372317
0395,372317
0396,372320
0397,372320
0398,372320
0399,372320
0400,372320
0401,372325
0402,372325
0403,372340
0404,372340
0405,372340
0406,372340
0407,372341
0408,372341
0409,372347
0410,372361
0411,372367
0412,372367
0413,372367
0414,372383
0415,372389
0416,372438
0417,372444
0418,372444
0419,372455
0420,372460
0421,372460
0422,372460
0423,372464
0424,372465
0425,372485
0426,372491
0427,372491
0428,372492
0429,372514
0430,372514
0431,372514
0432,372515
0433,372515
0434,372540
0435,372547
0436,372567
0437,372567
0438,372589
0439,372589
0440,372589
0441,372608
0442,372610
0443,372610
0444,372610
0445,372610
0446,372610
0447,372610
0448,372610
0449,372610
0450,372617
0451,372617
0452,372645
0453,372645
0454,372645
0455,372646
0456,372646
0457,372646
0458,372649
0459,372656
0460,372658
0461,372663
0462,372663
0463,372663
0464,372663
0465,372663
0466,372663
0467,372663
0468,372663
0469,372674
0470,372675
0471,372696
0472,372696
0473,372696
0474,372701
0475,372701
0476,372706
0477,372706
0478,372706
0479,372706
0480,372706
0481,372706
0482,372706
0483,372706
0484,372718
0485,372718
0486,372718
0487,372718
0488,372718
0489,372718
0490,372718
0491,372718
0492,372729
0493,372738
0494,372744
0495,372744
0496,372744
0497,372767
0498,372770
0499,372770
0500,372776
0501,372776
0502,372784
0503,372791
0504,372826
0505,372840
0506,372849
0507,372858
0508,372858
0509,372862
0510,372868
0511,372880
0512,372880
0513,372880
0514,372880
0515,372881
0516,372881
0517,372897
0518,372897
0519,372897
0520,372898
0521,372900
0522,372901
0523,372907
0524,372907
0525,372907
0526,372916
0527,372917
0528,372925
0529,372939
0530,372943
0531,372951
0532,372951
0533,372951
0534,372961
0535,372962
0536,372963
0537,372964
0538,372981
0539,372986
0540,372990
0541,372990
0542,372990
0543,373014
0544,373015
0545,373015
0546,373015
0547,373035
0548,373099
0549,373119
0550,373122
0551,373122
0552,373122
0553,373144
0554,373148
0555,373148
0556,373150
0557,373159
0558,373162
0559,373164
0560,373164
0561,373164
0562,373164
0563,373164
0564,373164
0565,373164
0566,373164
0567,373164
0568,373169
0569,373170
0570,373172
0571,373172
0572,373175
0573,373179
0574,373190
0575,373190
0576,373199
0577,373199
0578,373199
0579,373202
0580,373205
0581,373238
0582,373273
0583,373277
0584,373282
0585,373312
0586,373328
0587,373328
0588,373328
0589,373332
0590,373332
0591,373332
0592,373349
0593,373371
0594,373374
0595,373378
0596,373378
0597,373384
0598,373397
0599,373406
0600,373432
0601,373447
0602,373463
0603,373499
0604,373512
0605,373516
0606,373516
0607,373516
0608,373536
0609,373540
0610,373541
0611,373557
0612,373557
0613,373557
0614,373557
0615,373557
0616,373561
0617,373602
0618,373602
0619,373643
0620,373644
0621,373644
0622,373651
0623,373655
0624,373660
0625,373677
0626,373677
0627,373684
0628,373684
0629,373694
0630,373698
0631,373698
0632,373700
0633,373733
0634,373747
0635,373747
0636,373747
0637,373747
0638,373747
0639,373747
0640,373747
0641,373747
0642,373747
0643,373756
0644,373756
0645,373779
0646,373779
0647,373815
0648,373817
0649,373817
0650,373836
0651,373847
0652,373847
0653,373858
0654,373858
0655,373858
0656,373858
0657,373863
0658,373881
0659,373881
0660,373884
0661,373884
0662,373888
0663,373896
0664,373896
0665,373927
0666,373927
0667,373927
0668,373927
0669,373927
0670,373927
0671,373927
0672,373927
0673,373927
0674,373935
0675,373975
0676,373975
0677,373975
0678,373975
0679,373990
0680,373990
0681,373990
0682,373990
0683,374003
0684,374003
0685,374003
0686,374003
0687,374024
0688,374030
0689,374030
0690,374050
0691,374050
0692,374063
0693,374071
0694,374097
0695,374100
0696,374106
0697,374113
0698,374115
0699,374122
0700,374122
0701,374122
0702,374135
0703,374138
0704,374139
0705,374139
